Year,Month,Sea Ice Pixels,Ocean Pixels,Ocean + Ice Pixels,Land Pixels,Coast Pixels,Sea Ice Area (km²),Sea Ice Area (Million km²),Sea Ice (%)
2008,August,9294,17592,26886,25776,2850,6065846.270639714,6.065846270639714,34.568176746262
2008,September,7228,19658,26886,25776,2850,4736742.386538494,4.736742386538494,26.88388008629026
2009,March,20037,6849,26886,25776,2850,12764830.383629307,12.764830383629308,74.52577549654094
2009,April,20114,6772,26886,25776,2850,12818959.30756589,12.81895930756589,74.81216990255152
2009,May,19303,7583,26886,25776,2850,12325662.395782042,12.325662395782043,71.79573011976494
2009,June,16852,10034,26886,25776,2850,10819067.150262214,10.819067150262214,62.67946142974039
2009,July,13170,13716,26886,25776,2850,8520274.774315394,8.520274774315395,48.984601651417094
2009,August,9625,17261,26886,25776,2850,6275877.709430467,6.275877709430468,35.79930075132039
2009,September,8241,18645,26886,25776,2850,5387998.423984626,5.387998423984627,30.65164025887079
2010,March,20181,6705,26886,25776,2850,12861557.462103633,12.861557462103633,75.0613702298594
2010,April,20012,6874,26886,25776,2850,12757878.988184202,12.757878988184203,74.43279029978427
2010,May,18870,8016,26886,25776,2850,12051449.909515057,12.051449909515057,70.1852265119393
2010,June,16083,10803,26886,25776,2850,10344199.10924663,10.344199109246631,59.819236777505026
2010,July,12932,13954,26886,25776,2850,8375764.273428341,8.375764273428342,48.099382578293536
2010,August,9247,17639,26886,25776,2850,6031616.613657314,6.031616613657314,34.393364576359446
2010,September,7531,19355,26886,25776,2850,4932309.833003778,4.932309833003778,28.01086067098118
2011,March,19788,7098,26886,25776,2850,12620417.596931897,12.620417596931897,73.59964293684446
2011,April,19692,7194,26886,25776,2850,12562369.444838502,12.562369444838502,73.24257978129882
2011,May,18769,8117,26886,25776,2850,12002707.461299468,12.002707461299467,69.80956631704233
2011,June,16396,10490,26886,25776,2850,10540525.735521255,10.540525735521255,60.98341144089861
2011,July,12223,14663,26886,25776,2850,7921841.027062125,7.921841027062125,45.462322398274196
2011,August,8522,18364,26886,25776,2850,5564209.335973779,5.5642093359737785,31.696793870415828
2011,September,7073,19813,26886,25776,2850,4631651.137447208,4.631651137447208,26.30737186639887
2012,March,19775,7111,26886,25776,2850,12583988.383903176,12.583988383903176,73.55129063453099
2012,April,19727,7159,26886,25776,2850,12569152.036671981,12.569152036671982,73.37275905675817
